1992	 1
1993	 1
1995	 1
1996	 1
1997	 1
1999	 1
2000	 1
2008	 1
2009	 1
2014	 1
2015	 1
2020	 1
2022	 1
2028	 1
2030	 1
2031	 1
2032	 1
2035	 1
2036	 1

3723	 1
3724	 1
3725	 1
3726	 1
3728	 1
3729	 1
3730	 1
3731	 1
3738	 1
3741	 1
3743	 1
3745	 1
3748	 1
3755	 1
3761	 1
3762	 1
3763	 1
3764	 1
3765	 1
3766	 1
3767	 1
3768	 1
3770	 1
3771	 1
3772	 1
3773	 1
3776	 1
3782	 1
3787	 1
3790	 1
3791	 1
3792	 1
3793	 1
3794	 1
3795	 1
3800	 1
3801	 1
3802	 1

3930	 1
3931	 1
3933	 1
3936	 1
3940	 1
3947	 1
3954	 1
3960	 1
3960	 1
3961	 1
3962	 1
3964	 1
3966	 1
3967	 1
3975	 1
3976	 1
3978	 1
3980	 1
3982	 1

4470	 1
4471	 1
4487	 1
4488	 1
4490	 1
4492	 1
4493	 1
4494	 1
4496	 1
4497	 1
4498	 1
4500	 1

5013	 1
5014	 1
5019	 1
5023	 1
5024	 1
5027	 1
5033	 1
5034	 1
5048	 1
5050	 1
5055	 1
5056	 1
5057	 1
5058	 1
5060	 1
5063	 1
5064	 1
