time,speed,GPS_long,GPS_lat,GPS_heading,long_accel,lat_accel,vector_accel,vert_accel
0,1.853810763,-83.23092419,42.31946387,41.24729156,-0.448046875,-0.379296875,0.587049776,0.8828125
0.1,0.874535802,-83.23092396,42.31946459,41.24729156,-0.447395837,-0.374609375,0.583555973,0.88125
0.2,0.169895883,-83.23092408,42.31946488,46.12791061,-0.44652344,-0.376888016,0.58463279,0.87421875
0.3,0,-83.23092408,42.31946488,46.12791061,-0.421979165,-0.387864584,0.574878567,0.82421875
0.4,0,-83.23092408,42.31946488,48.67142105,-0.393164063,-0.410507813,0.570508212,0.92265625
0.5,0,-83.23092408,42.31946488,48.67142105,-0.363111982,-0.431471357,0.564385116,0.921875
0.6,0,-83.23092408,42.31946488,48.67142105,-0.359140629,-0.434947917,0.564422548,0.888671875
0.7,0,-83.23092408,42.31946488,46.21582031,-0.325403646,-0.432083336,0.542989397,0.842578125
0.8,0,-83.23092408,42.31946488,48.41788864,-0.276953128,-0.432656246,0.517642462,0.90078125
0.9,0,-83.23092408,42.31946488,48.41788864,-0.22126302,-0.432825521,0.487387842,0.99609375
1,0,-83.23092408,42.31946488,52.87289047,-0.198919271,-0.430286455,0.474173555,0.9296875
1.1,0,-83.23092408,42.31946488,52.87289047,-0.198203124,-0.433515626,0.47677651,0.944140625
1.2,0,-83.23092408,42.31946488,57.85326004,-0.206588542,-0.448242188,0.493770081,0.929296875
1.3,0,-83.23092408,42.31946488,57.85326004,-0.218841147,-0.464622399,0.513988656,0.90390625
1.4,0,-83.23092408,42.31946488,56.54513931,-0.218385416,-0.48934896,0.536944401,0.887890625
1.5,0,-83.23092408,42.31946488,56.54513931,-0.229179688,-0.498229167,0.549632585,0.903125
1.6,0,-83.23092408,42.31946488,53.86199188,-0.240911458,-0.508385417,0.564075804,0.9078125
1.7,0,-83.23092408,42.31946488,53.86199188,-0.275481772,-0.475950521,0.5519072,0.9046875
1.8,0,-83.23092408,42.31946488,52.56528091,-0.30667969,-0.466966152,0.561149776,0.873046875
1.9,0,-83.23092408,42.31946488,52.56528091,-0.328020832,-0.459388024,0.565765744,0.81953125
2,0,-83.23092408,42.31946488,50.3440094,-0.317838538,-0.464921874,0.565071452,0.85546875
2.1,0,-83.23092408,42.31946488,50.3440094,-0.26402344,-0.435924482,0.511797002,0.94140625
2.2,0,-83.23092408,42.31946488,50.50920105,-0.184427084,-0.378541669,0.42541765,0.996875
2.3,0,-83.23092408,42.31946488,50.50920105,-0.105247395,-0.302460939,0.325763577,0.984765625
2.4,0,-83.23092408,42.31946488,47.81468201,-0.073645833,-0.21536458,0.235879777,1.04765625
2.5,0,-83.23092408,42.31946488,47.81468201,-0.059934896,-0.160703124,0.179526673,0.940234375
2.6,0,-83.23092408,42.31946488,47.81468201,-0.087513021,-0.177226561,0.201550855,1.0625
2.7,0.026046338,-83.23092408,42.31946488,46.83808136,-0.106523437,-0.225898437,0.251474504,0.977734375
2.8,0.200488801,-83.23092408,42.31946488,46.83808136,-0.139492185,-0.269401047,0.303989166,1.02578125
2.9,0.378463748,-83.23092408,42.31946488,43.28706741,-0.159869793,-0.282226565,0.325766438,1.036328125
3,0.541836968,-83.23092408,42.31946488,40.16843033,-0.169062498,-0.247239584,0.304336333,0.960546875
3.1,0.604434663,-83.23092408,42.31946488,40.16843033,-0.177825519,-0.212838542,0.283170399,1.008984375
3.2,0.721192759,-83.23092416,42.31946494,39.83023071,-0.165677081,-0.186106771,0.253494714,0.964453125
3.3,0.840140349,-83.23092451,42.31946507,39.83023071,-0.179401039,-0.211263019,0.281025818,1.119140625
3.4,0.996871412,-83.23092495,42.31946504,38.55926895,-0.226888019,-0.225611979,0.327082855,1.0203125
3.5,0.924802822,-83.23092539,42.31946481,38.55926895,-0.31710937,-0.219661458,0.392545474,0.939453125
3.6,0.653364241,-83.23092559,42.31946448,36.99801254,-0.40184896,-0.223255207,0.462142017,0.88125
3.7,0.171337871,-83.2309256,42.3194643,36.99801254,-0.390989584,-0.276484375,0.504394326,0.70703125
3.8,0,-83.2309256,42.3194643,36.99801254,-0.298424479,-0.385624999,0.535417455,0.876171875
3.9,0,-83.2309256,42.3194643,38.40671158,-0.206966147,-0.442838541,0.512881589,1.140234375
4,0,-83.2309256,42.3194643,36.56851959,-0.182486981,-0.459635416,0.500746548,0.91875
4.1,0,-83.2309256,42.3194643,36.56851959,-0.21360677,-0.412916666,0.467332777,0.97109375
4.2,0,-83.2309256,42.3194643,35.75049973,-0.22247396,-0.422578123,0.479571176,0.8921875
4.3,0,-83.2309256,42.3194643,35.75049973,-0.221809897,-0.428828126,0.483748928,0.93359375
4.4,0,-83.2309256,42.3194643,36.25699234,-0.216901042,-0.438190106,0.489231947,0.92265625
4.5,0,-83.2309256,42.3194643,36.25699234,-0.21299479,-0.432799482,0.482525098,0.933984375
4.6,0,-83.2309256,42.3194643,32.5069313,-0.212395832,-0.43024739,0.479908055,0.919921875
4.7,0,-83.2309256,42.3194643,32.5069313,-0.209192705,-0.431614584,0.479666293,0.9328125
4.8,0,-83.2309256,42.3194643,32.5069313,-0.207343748,-0.430572915,0.477930817,0.923828125
4.9,0,-83.2309256,42.3194643,36.63130951,-0.205169272,-0.42949219,0.476023597,0.920703125
