time,speed,GPS_long,GPS_lat,GPS_heading,long_accel,lat_accel,vector_accel,vert_accel,hr,scl,LaneChangeLeft,LaneChangeRight,TurnLeft,TurnRight,GoStraight
3.7,0,-83.2309615,42.3194039,15.55192089,-0.156054689,-0.321249998,0.358401605,0.998046875,93.47880505,71.08616887,0,0,0,0,1
3.8,0,-83.2309615,42.3194039,15.55192089,-0.158372396,-0.359375003,0.393009275,0.961328125,94.00476189,71.14470235,0,0,0,0,1
3.9,0,-83.2309615,42.3194039,10.25224018,-0.139218749,-0.347929686,0.37504037,0.973046875,94.55333529,71.2003441,0,0,0,0,1
4,0,-83.2309615,42.3194039,10.25224018,-0.134466144,-0.351315105,0.376448667,0.969921875,95.06355547,71.26939696,0,0,0,0,1
4.1,0,-83.2309615,42.3194039,14.7733202,-0.12997396,-0.349205726,0.37277199,0.961328125,95.44548442,71.32173585,0,0,0,0,1
4.2,0,-83.2309615,42.3194039,14.7733202,-0.127734376,-0.341562498,0.364832023,0.972265625,95.68616923,71.36544985,0,0,0,0,1
4.3,0,-83.2309615,42.3194039,14.13718033,-0.128124999,-0.331210938,0.355289847,0.97734375,95.76220357,71.42730076,0,0,0,0,1
4.4,0,-83.2309615,42.3194039,14.13718033,-0.131093749,-0.335963541,0.360776824,0.97578125,95.66826547,71.48841226,0,0,0,0,1
4.5,0,-83.2309615,42.3194039,17.10346985,-0.135312501,-0.341536459,0.367493019,0.9671875,95.41664966,71.55972235,0,0,0,0,1
4.6,0,-83.2309615,42.3194039,17.10346985,-0.130624999,-0.337265623,0.36183053,0.96953125,95.03497995,71.61647157,0,0,0,0,1
4.7,0,-83.2309615,42.3194039,15.36591053,-0.124622396,-0.327486977,0.350527927,0.98203125,94.56244297,71.68431989,0,0,0,0,1
4.8,0,-83.2309615,42.3194039,15.36591053,-0.125664062,-0.320611981,0.344454011,0.980859375,94.04501892,71.74400821,0,0,0,0,1
4.9,0,-83.2309615,42.3194039,16.30430031,-0.128554687,-0.336250001,0.36031529,0.97578125,93.53026402,71.78843799,0,0,0,0,1
