time,speed,GPS_long,GPS_lat,GPS_heading,long_accel,lat_accel,vector_accel,vert_accel,hr,scl,LaneChangeLeft,LaneChangeRight,TurnLeft,TurnRight,GoStraight
0,1.853810763,-83.23092419,42.31946387,41.24729156,-0.448046875,-0.379296875,0.587049776,0.8828125,87.05820343,57.16275843,0,0,0,0,1
0.1,0.874535802,-83.23092396,42.31946459,41.24729156,-0.447395837,-0.374609375,0.583555973,0.88125,92.41993934,57.18117654,0,0,0,0,1
0.2,0.169895883,-83.23092408,42.31946488,46.12791061,-0.44652344,-0.376888016,0.58463279,0.87421875,96.28928537,57.2827158,0,0,0,0,1
0.3,0,-83.23092408,42.31946488,46.12791061,-0.421979165,-0.387864584,0.574878567,0.82421875,98.67894205,57.4004941,0,0,0,0,1
0.4,0,-83.23092408,42.31946488,48.67142105,-0.393164063,-0.410507813,0.570508212,0.92265625,99.6851389,57.4777432,0,0,0,0,1
0.5,0,-83.23092408,42.31946488,48.67142105,-0.363111982,-0.431471357,0.564385116,0.921875,99.4770387,57.56491799,0,0,0,0,1
0.6,0,-83.23092408,42.31946488,48.67142105,-0.359140629,-0.434947917,0.564422548,0.888671875,98.28125571,57.6718632,0,0,0,0,1
0.7,0,-83.23092408,42.31946488,46.21582031,-0.325403646,-0.432083336,0.542989397,0.842578125,96.36284354,57.76217511,0,0,0,0,1
0.8,0,-83.23092408,42.31946488,48.41788864,-0.276953128,-0.432656246,0.517642462,0.90078125,94.00435941,57.85025171,0,0,0,0,1
0.9,0,-83.23092408,42.31946488,48.41788864,-0.22126302,-0.432825521,0.487387842,0.99609375,91.48472198,57.99181446,0,0,0,0,1
1,0,-83.23092408,42.31946488,52.87289047,-0.198919271,-0.430286455,0.474173555,0.9296875,89.05954144,58.06327625,0,0,0,0,1
1.1,0,-83.23092408,42.31946488,52.87289047,-0.198203124,-0.433515626,0.47677651,0.944140625,86.9122991,58.17779495,0,0,0,0,1
1.2,0,-83.23092408,42.31946488,57.85326004,-0.206588542,-0.448242188,0.493770081,0.929296875,85.23332094,58.26194394,0,0,0,0,1
1.3,0,-83.23092408,42.31946488,57.85326004,-0.218841147,-0.464622399,0.513988656,0.90390625,84.12964899,58.37801666,0,0,0,0,1
1.4,0,-83.23092408,42.31946488,56.54513931,-0.218385416,-0.48934896,0.536944401,0.887890625,83.64696759,58.46345394,0,0,0,0,1
1.5,0,-83.23092408,42.31946488,56.54513931,-0.229179688,-0.498229167,0.549632585,0.903125,83.77202637,58.55670353,0,0,0,0,1
1.6,0,-83.23092408,42.31946488,53.86199188,-0.240911458,-0.508385417,0.564075804,0.9078125,84.43955789,58.64745109,0,0,0,0,1
1.7,0,-83.23092408,42.31946488,53.86199188,-0.275481772,-0.475950521,0.5519072,0.9046875,85.54283325,58.71241533,0,0,0,0,1
1.8,0,-83.23092408,42.31946488,52.56528091,-0.30667969,-0.466966152,0.561149776,0.873046875,86.94674377,58.81729778,0,0,0,0,1
