time,speed,GPS_long,GPS_lat,GPS_heading,long_accel,lat_accel,vector_accel,vert_accel
0,8.576061821,-83.23154512,42.31940063,157.6065674,-0.744921875,0.060546875,0.747381848,0.74765625
0.1,6.93148365,-83.23154706,42.31940376,157.6065674,-0.740078115,0.059192709,0.742501736,0.718359375
0.2,5.296932554,-83.23154858,42.31940631,157.6065674,-0.739440101,0.06376302,0.742212141,0.73828125
0.3,3.687573195,-83.23154969,42.31940827,157.6065674,-0.734244788,0.066393229,0.7372513,0.74375
0.4,2.082584691,-83.2315504,42.31940966,157.6065674,-0.734830737,0.063867186,0.737629116,0.737890625
0.5,0.562320644,-83.23155075,42.31941045,157.6065674,-0.736718756,0.059531249,0.739142394,0.740234375
0.6,0.203699435,-83.2315508,42.3194106,157.3177032,-0.737031251,0.057994791,0.739319062,0.74453125
0.7,0.185489671,-83.2315508,42.3194106,157.3177032,-0.735559899,0.061419271,0.738138616,0.7375
0.8,0.171136014,-83.2315508,42.3194106,157.3177032,-0.734127605,0.065611979,0.737067199,0.74296875
0.9,0.159781569,-83.2315508,42.3194106,157.3177032,-0.733502609,0.066653647,0.736532998,0.739453125
1,0.149369717,-83.2315508,42.3194106,161.1072845,-0.732968748,0.064583333,0.735820144,0.740234375
1.1,0.137758179,-83.2315508,42.3194106,161.1072845,-0.733307284,0.061809896,0.735912973,0.744140625
1.2,0.128717359,-83.2315508,42.3194106,161.1072845,-0.733020836,0.060390625,0.735507208,0.74453125
1.3,0.114744133,-83.2315508,42.3194106,161.1072845,-0.733736968,0.059622397,0.736158592,0.7390625
1.4,0.063625085,-83.2315508,42.3194106,170.2807465,-0.733398432,0.059401041,0.735804749,0.744921875
1.5,0.008436331,-83.2315508,42.3194106,170.2807465,-0.734270829,0.059231771,0.736663026,0.7421875
1.6,0,-83.2315508,42.3194106,170.2807465,-0.734817725,0.057786458,0.737098789,0.74140625
1.7,0,-83.2315508,42.3194106,170.2807465,-0.734453136,0.0575,0.736711407,0.743359375
1.8,0,-83.2315508,42.3194106,166.6212616,-0.733463544,0.057955728,0.735760444,0.74296875
1.9,0,-83.2315508,42.3194106,166.6212616,-0.732760423,0.058632812,0.735110259,0.7421875
2,0,-83.2315508,42.3194106,166.6212616,-0.733854163,0.056809896,0.736061054,0.74140625
2.1,0,-83.2315508,42.3194106,166.6212616,-0.734583336,0.056041667,0.736727673,0.744140625
2.2,0,-83.2315508,42.3194106,163.0537415,-0.732565105,0.059361979,0.734992629,0.74375
2.3,0,-83.2315508,42.3194106,163.0537415,-0.730052084,0.064752604,0.73294003,0.747265625
2.4,0,-83.2315508,42.3194106,163.0537415,-0.728059888,0.068697917,0.731304026,0.744921875
2.5,0,-83.2315508,42.3194106,163.0537415,-0.730442709,0.065898438,0.733447528,0.739453125
2.6,0,-83.2315508,42.3194106,174.2850342,-0.73295573,0.060195313,0.735477793,0.741015625
2.7,0,-83.2315508,42.3194106,174.2850342,-0.734466147,0.056223958,0.736631352,0.747265625
2.8,0,-83.2315508,42.3194106,174.2850342,-0.730950522,0.058333333,0.733297533,0.743359375
2.9,0,-83.2315508,42.3194106,174.2850342,-0.727955735,0.061653646,0.730574358,0.74765625
3,0,-83.2315508,42.3194106,183.0466309,-0.727187508,0.061367187,0.729785091,0.75
3.1,0,-83.2315508,42.3194106,183.0466309,-0.728450519,0.058085938,0.730778432,0.74375
3.2,0,-83.2315508,42.3194106,183.0466309,-0.728919268,0.057161459,0.731166607,0.75
3.3,0,-83.2315508,42.3194106,183.0466309,-0.728007811,0.058111979,0.730333811,0.749609375
3.4,0,-83.2315508,42.3194106,188.5979004,-0.728242177,0.059062501,0.73063969,0.744921875
3.5,0,-83.2315508,42.3194106,188.5979004,-0.728424478,0.057552083,0.730701733,0.750390625
