time,speed,GPS_long,GPS_lat,GPS_heading,long_accel,lat_accel,vector_accel,vert_accel
5,0.404715663,-83.2315904,42.3195197,224.5421448,-0.80233072,-0.041171875,0.803396922,0.7046875
5.1,0.412602282,-83.2315904,42.3195197,230.0397339,-0.801263028,-0.039973958,0.802270752,0.705078125
5.2,0.420926228,-83.2315904,42.3195197,230.0397339,-0.801796877,-0.038229166,0.802721441,0.706640625
5.3,0.442080611,-83.2315904,42.3195197,233.6015167,-0.800429684,-0.040221354,0.801467043,0.69453125
5.4,0.446850559,-83.2315904,42.3195197,233.6015167,-0.800416672,-0.046315104,0.80183301,0.7046875
5.5,0.456603691,-83.2315904,42.3195197,231.7970886,-0.797812498,-0.057044271,0.799923331,0.712109375
5.6,0.463652959,-83.2315904,42.3195197,231.7970886,-0.796914059,-0.062539063,0.799390554,0.71875
5.7,0.478928462,-83.2315904,42.3195197,233.9401855,-0.797343755,-0.058684896,0.799565816,0.721484375
5.8,0.495419008,-83.2315904,42.3195197,233.9401855,-0.799557287,-0.049127604,0.801138514,0.69921875
5.9,0.505123979,-83.2315904,42.3195197,232.647522,-0.802330726,-0.046132813,0.803705394,0.69453125
6,0.514792752,-83.2315904,42.3195197,232.647522,-0.805182296,-0.054401041,0.807158446,0.697265625
6.1,0.513275623,-83.2315904,42.3195197,236.3803101,-0.806002593,-0.062382812,0.808495766,0.7046875
6.2,0.506094414,-83.2315904,42.3195197,236.3803101,-0.80667969,-0.062773438,0.809180653,0.70859375
6.3,0.508903891,-83.2315904,42.3195197,234.9187317,-0.807851565,-0.059947917,0.810114533,0.690625
6.4,0.497914061,-83.2315904,42.3195197,234.9187317,-0.809752607,-0.062278645,0.812187165,0.689453125
6.5,0.479264823,-83.2315904,42.3195197,238.3816986,-0.810351563,-0.064218751,0.812921476,0.703515625
6.6,0.466164607,-83.2315904,42.3195197,238.3816986,-0.809049493,-0.060130208,0.8113307,0.69140625
6.7,0.456834817,-83.2315904,42.3195197,243.7485504,-0.808333325,-0.058111979,0.810466707,0.685546875
6.8,0.448219234,-83.2315904,42.3195197,243.7485504,-0.809726554,-0.065169271,0.812459749,0.698046875
6.9,0.439910907,-83.2315904,42.3195197,239.5652771,-0.808789068,-0.074505208,0.812273979,0.697265625
7,0.426559517,-83.2315904,42.3195197,239.5652771,-0.807929689,-0.07875,0.811768258,0.706640625
7.1,0.422164723,-83.2315904,42.3195197,243.880188,-0.806627607,-0.075039063,0.810129708,0.698046875
7.2,0.417519212,-83.2315904,42.3195197,243.880188,-0.80718751,-0.071653645,0.81037848,0.69609375
7.3,0.410120115,-83.2315904,42.3195197,240.6025085,-0.807460934,-0.071901041,0.810674071,0.69375
7.4,0.407159743,-83.2315904,42.3195197,240.6025085,-0.806510419,-0.073906251,0.809915,0.70625
7.5,0.402189305,-83.2315904,42.3195197,236.7875824,-0.805247408,-0.072447917,0.808547372,0.697265625
7.6,0.40102545,-83.2315904,42.3195197,236.7875824,-0.811419272,-0.07391927,0.814855134,0.6921875
7.7,0.386508182,-83.2315904,42.3195197,231.778183,-0.818346357,-0.070677083,0.821511269,0.6953125
7.8,0.327367666,-83.2315904,42.3195197,231.778183,-0.816601563,-0.07299479,0.819995862,0.67890625
7.9,0.288361433,-83.2315904,42.3195197,230.788269,-0.806028634,-0.07673177,0.809891409,0.678515625
8,0.316181278,-83.2315904,42.3195197,230.788269,-0.796848965,-0.090247396,0.80214951,0.729296875
8.1,0.325531635,-83.2315904,42.3195197,230.788269,-0.79580729,-0.097161459,0.801789576,0.716796875
8.2,0.341956982,-83.2315904,42.3195197,230.788269,-0.797968745,-0.094505209,0.803613883,0.712109375
8.3,0.358606279,-83.2315904,42.3195197,237.0369568,-0.798164064,-0.088320313,0.803056109,0.703125
8.4,0.369671556,-83.2315904,42.3195197,237.0369568,-0.79957031,-0.087213542,0.804319286,0.702734375
8.5,0.385787714,-83.2315904,42.3195197,233.3805389,-0.797929692,-0.085104167,0.802564788,0.709765625
8.6,0.401277921,-83.2315904,42.3195197,233.3805389,-0.792890632,-0.076367188,0.796926051,0.70625
