time,speed,GPS_long,GPS_lat,GPS_heading,long_accel,lat_accel,vector_accel,vert_accel,LaneChangeLeft,LaneChangeRight,TurnLeft,TurnRight,GoStraight
0,23.435152053833,-83.7024712196259,42.2983807271134,4.80364990234375,-0.29296875,-0.01171875,0.29320302605629,0.96484375,0,0,0,0,1
0.1,22.7667713165283,-83.7024808065033,42.2983747224245,4.80364990234375,-0.296875,-0.01171875,0.297106206417084,0.97265625,0,0,0,0,1
0.2,22.1026744842529,-83.702490113189,42.2983688860001,4.80364990234375,-0.312890619039536,-0.00455729151144624,0.312977075576782,0.96484375,0,0,0,0,1
0.3,21.3777332305908,-83.7024991220543,42.2983632312561,4.80364990234375,-0.313802093267441,-0.00403645820915699,0.313878029584885,0.97265625,0,0,0,0,1
0.4,20.7076320648193,-83.7025078457127,42.2983577518358,4.76257038116455,-0.3046875,-0.00390625,0.30475440621376,0.96875,0,0,0,0,1
0.5,20.039249420166,-83.7025162885653,42.2983524434043,4.76257038116455,-0.3046875,-0.00377604155801237,0.30474841594696,0.95703125,0,0,0,0,1
0.6,19.3760032653809,-83.7025244534384,42.2983473051392,4.91650009155273,-0.305208325386047,-0.00338541669771075,0.305259793996811,0.95703125,0,0,0,0,1
0.7,18.7024726867676,-83.7025323389884,42.2983423387624,4.91650009155273,-0.305859386920929,-0.00338541669771075,0.305910617113113,0.95703125,0,0,0,0,1
0.8,18.0306549072266,-83.7025399432463,42.2983375457645,4.0125904083252,-0.304947912693024,-0.00377604155801237,0.305003643035889,0.953125,0,0,0,0,1
0.9,17.3674068450928,-83.7025472686096,42.298332924398,4.0125904083252,-0.304817706346512,-0.00390625,0.304876238107681,0.95703125,0,0,0,0,1
1,16.7007312774658,-83.7025543159354,42.2983284734121,2.71288013458252,-0.306250005960464,-0.00390625,0.306311726570129,0.95703125,0,0,0,0,1
1.1,16.0246315002441,-83.702561082942,42.2983241946657,2.71288013458252,-0.305729180574417,-0.00377604155801237,0.305791735649109,0.95703125,0,0,0,0,1
1.2,15.3528137207031,-83.702567568784,42.2983200904977,2.61490988731384,-0.304166674613953,-0.00468750018626451,0.304245620965958,0.9609375,0,0,0,0,1
1.3,14.6904230117798,-83.7025737767332,42.2983161573099,2.61490988731384,-0.303906261920929,-0.00429687509313226,0.303985893726349,0.95703125,0,0,0,0,1
1.4,14.0237474441528,-83.7025797071835,42.2983123936245,354.070159912109,-0.305859386920929,-0.00416666688397527,0.305937826633453,0.9609375,0,0,0,0,1
1.5,13.3450756072998,-83.7025853577954,42.2983088034766,354.070159912109,-0.306380212306976,-0.00416666688397527,0.306459873914719,0.96484375,0,0,0,0,1
1.6,12.6741151809692,-83.7025907271209,42.2983053882112,352.450347900391,-0.304817706346512,-0.00390625,0.304887235164642,0.97265625,0,0,0,0,1
1.7,12.0108671188354,-83.7025958179398,42.2983021442902,352.450347900391,-0.304427087306976,-0.00364583334885538,0.304494947195053,0.9609375,0,0,0,0,1
1.8,11.3424777984619,-83.7026006330609,42.2982990722103,353.201477050781,-0.305338531732559,-0.00390625,0.305420339107513,0.96484375,0,0,0,0,1
1.9,10.6655197143555,-83.7026051699998,42.298296175694,353.201477050781,-0.305468738079071,-0.0049479166045785,0.305569559335709,0.97265625,0,0,0,0,1
2,9.99884414672852,-83.7026094260346,42.2982934518329,6.87513017654419,-0.304557293653488,-0.00481770839542151,0.304650664329529,0.96484375,0,0,0,0,1
2.1,9.33131217956543,-83.702613403754,42.2982908989176,6.87513017654419,-0.304166674613953,-0.00273437495343387,0.304220497608185,0.97265625,0,0,0,0,1
2.2,8.66206645965576,-83.7026171055844,42.2982885201224,6.36478996276855,-0.305078119039536,-0.00377604155801237,0.305159866809845,0.98046875,0,0,0,0,1
2.3,7.99624729156494,-83.7026205324149,42.2982863163039,6.36478996276855,-0.305859386920929,-0.00533854169771075,0.305968046188354,0.97265625,0,0,0,0,1
2.4,7.31843233108521,-83.702623680649,42.2982842860315,6.1440896987915,-0.304427087306976,-0.00416666688397527,0.30453634262085,0.984375,0,0,0,0,1
2.5,6.65175676345825,-83.7026265464357,42.2982824285256,6.1440896987915,-0.305468738079071,-0.00273437495343387,0.305543541908264,0.97265625,0,0,0,0,1
2.6,5.98850870132446,-83.7026291434307,42.2982807467031,7.09567975997925,-0.3046875,-0.0029947916045785,0.304772943258286,0.9609375,0,0,0,0,1
2.7,5.3132643699646,-83.7026314636275,42.2982792415408,7.09567975997925,-0.305078119039536,-0.00429687509313226,0.3051638007164,0.96875,0,0,0,0,1
2.8,4.64915990829468,-83.7026335044925,42.2982779092477,8.42195987701416,-0.304427087306976,-0.00429687509313226,0.304509699344635,0.96875,0,0,0,0,1
2.9,3.98419880867004,-83.7026352741103,42.2982767515223,8.42195987701416,-0.305338531732559,-0.00260416674427688,0.305391609668732,0.96484375,0,0,0,0,1
3,3.30724120140076,-83.7026367681982,42.2982757706006,9.11141014099121,-0.306380212306976,-0.00429687509313226,0.30645826458931,0.96875,0,0,0,0,1
3.1,2.63713884353638,-83.7026379863451,42.2982749674399,9.11141014099121,-0.305729180574417,-0.00416666688397527,0.305803149938583,0.96875,0,0,0,0,1
3.2,1.96960687637329,-83.7026389298164,42.2982743399669,8.84568977355957,-0.305468738079071,-0.00338541669771075,0.305537045001984,0.96484375,0,0,0,0,1
3.3,1.29864752292633,-83.702639599986,42.2982738900001,8.84568977355957,-0.306119799613953,-0.00377604155801237,0.306201905012131,0.96875,0,0,0,0,1
3.4,0.962447643280029,-83.702640026311,42.2982736028364,11.2578096389771,-0.305598944425583,-0.00416666688397527,0.305697470903397,0.96875,0,0,0,0,1
3.5,0.96357786655426,-83.7026404076555,42.298273339446,11.2578096389771,-0.304036468267441,-0.00559895811602473,0.304148465394974,0.95703125,0,0,0,0,1
3.6,0.977645456790924,-83.702640786394,42.2982730702879,9.19437980651855,-0.304296880960464,-0.00442708330228925,0.304383337497711,0.95703125,0,0,0,0,1
3.7,0.993510782718658,-83.7026411685999,42.2982727937922,9.19437980651855,-0.3046875,-0.00377604155801237,0.304755806922913,0.97265625,0,0,0,0,1
3.8,0.985537111759186,-83.7026415498141,42.2982725125161,8.58920001983643,-0.305338531732559,-0.00390625,0.305409103631973,0.9609375,0,0,0,0,1
3.9,0.968291938304901,-83.7026419227613,42.2982722330605,8.58920001983643,-0.305338531732559,-0.00416666688397527,0.305415838956833,0.9453125,0,0,0,0,1
4,0.971197903156281,-83.702642287527,42.298271955012,7.79918050765991,-0.305598944425583,-0.00390625,0.305676192045212,0.96484375,0,0,0,0,1
4.1,0.983115017414093,-83.7026426515904,42.2982716709088,7.79918050765991,-0.306250005960464,-0.00390625,0.30632883310318,0.9609375,0,0,0,0,1
4.2,1.00404238700867,-83.7026430188405,42.2982713802711,8.04428005218506,-0.305729180574417,-0.00377604155801237,0.305801779031754,0.9609375,0,0,0,0,1
4.3,1.03312301635742,-83.7026433924377,42.2982710801562,8.04428005218506,-0.305729180574417,-0.00416666688397527,0.305804312229156,0.953125,0,0,0,0,1
4.4,1.04443383216858,-83.702643771124,42.2982707691333,10.8287601470947,-0.305859386920929,-0.00429687509313226,0.305940240621567,0.9609375,0,0,0,0,1
4.5,1.03369045257568,-83.7026441459375,42.2982704567569,10.8287601470947,-0.305208325386047,-0.00442708330228925,0.305293321609497,0.953125,0,0,0,0,1
4.6,1.01101553440094,-83.7026445121147,42.2982701459268,13.1204404830933,-0.305078119039536,-0.00468750018626451,0.305168211460114,0.953125,0,0,0,0,1
4.7,0.982407569885254,-83.7026448637313,42.2982698408515,13.1204404830933,-0.305859386920929,-0.00403645820915699,0.305936455726624,0.95703125,0,0,0,0,1
4.8,0.949049353599548,-83.7026452006397,42.2982695424479,4.20499992370605,-0.305598944425583,-0.00442708330228925,0.305689126253128,0.953125,0,0,0,0,1
4.9,0.91779625415802,-83.7026455224574,42.2982692531231,4.20499992370605,-0.305598944425583,-0.00390625,0.305678933858871,0.953125,0,0,0,0,1
5,0.896904528141022,-83.7026458310524,42.2982689687393,359.361785888672,-0.305078119039536,-0.00390625,0.305158376693726,0.96484375,0,0,0,0,1
5.1,0.870950400829315,-83.7026461285223,42.2982686890759,359.361785888672,-0.305989593267441,-0.00364583334885538,0.306056201457977,0.9609375,0,0,0,0,1
5.2,0.847526907920837,-83.7026464147298,42.2982684160905,358.241394042969,-0.305859386920929,-0.00429687509313226,0.305942505598068,0.953125,0,0,0,0,1
5.3,0.844628870487213,-83.7026466924603,42.2982681452683,358.241394042969,-0.305468738079071,-0.00442708330228925,0.305549293756485,0.953125,0,0,0,0,1
5.4,0.84018462896347,-83.702646963583,42.2982678726192,357.941101074219,-0.305208325386047,-0.00455729151144624,0.305289596319199,0.95703125,0,0,0,0,1
5.5,0.835907936096191,-83.7026472303015,42.2982675994047,357.941101074219,-0.304557293653488,-0.00481770839542151,0.304641991853714,0.95703125,0,0,0,0,1
5.6,0.850341975688934,-83.7026474928865,42.2982673233052,358.58740234375,-0.3046875,-0.00377604155801237,0.30476513504982,0.953125,0,0,0,0,1
5.7,0.880916118621826,-83.7026477571886,42.2982670360964,358.58740234375,-0.305468738079071,-0.00338541669771075,0.305542141199112,0.95703125,0,0,0,0,1
5.8,0.888157367706299,-83.7026480266101,42.2982667408818,357.960693359375,-0.305729180574417,-0.00312500004656613,0.305797517299652,0.94921875,0,0,0,0,1
5.9,0.896059393882751,-83.702648294468,42.2982664425831,357.960693359375,-0.305078119039536,-0.00364583334885538,0.305141627788544,0.953125,0,0,0,0,1
6,0.912051022052765,-83.7026485609042,42.2982661380369,357.526092529297,-0.304296880960464,-0.00338541669771075,0.304351985454559,0.95703125,0,0,0,0,1
6.1,0.927563726902008,-83.702648830165,42.2982658268641,357.526092529297,-0.305078119039536,-0.00338541669771075,0.305124282836914,0.953125,0,0,0,0,1
6.2,0.929544568061829,-83.7026491004408,42.2982655092596,359.068756103516,-0.305078119039536,-0.00403645820915699,0.305131852626801,0.96484375,0,0,0,0,1
6.3,0.918850421905518,-83.7026493634659,42.2982651924733,359.068756103516,-0.305078119039536,-0.00416666688397527,0.305130779743195,0.96875,0,0,0,0,1
6.4,0.911992967128754,-83.7026496195806,42.2982648776488,1.64217007160187,-0.304947912693024,-0.00351562490686774,0.304989576339722,0.9609375,0,0,0,0,1
6.5,0.915827512741089,-83.7026498716212,42.298264560976,1.64217007160187,-0.305989593267441,-0.00312500004656613,0.306027203798294,0.97265625,0,0,0,0,1
6.6,0.913388013839722,-83.7026501205649,42.298264242804,3.96473026275635,-0.305859386920929,-0.00364583334885538,0.305907279253006,0.9765625,0,0,0,0,1
6.7,0.903817534446716,-83.7026503652252,42.2982639257392,3.96473026275635,-0.3046875,-0.00429687509313226,0.304748356342316,0.97265625,0,0,0,0,1
6.8,0.912105202674866,-83.7026506044056,42.2982636077728,3.72356986999512,-0.304427087306976,-0.00455729151144624,0.304496616125107,0.9765625,0,0,0,0,1
6.9,0.920255839824677,-83.7026508408214,42.2982632836767,3.72356986999512,-0.305598944425583,-0.00377604155801237,0.305654913187027,0.96875,0,0,0,0,1
7,0.918319880962372,-83.702651074338,42.2982629571304,356.592254638672,-0.306119799613953,-0.00364583334885538,0.306173026561737,0.96875,0,0,0,0,1
7.1,0.922578573226929,-83.7026513040592,42.2982626295775,356.592254638672,-0.305338531732559,-0.00403645820915699,0.305394023656845,0.96875,0,0,0,0,1
7.2,0.925312280654907,-83.7026515309144,42.298262298495,0.681330025196075,-0.304817706346512,-0.00390625,0.304870396852493,0.96484375,0,0,0,0,1
7.3,0.917095005512238,-83.7026517520985,42.2982619668406,0.681330025196075,-0.305989593267441,-0.00377604155801237,0.306046217679977,0.95703125,0,0,0,0,1
7.4,1.07981359958649,-83.7026519755122,42.2982616249573,1.11073994636536,-0.305989593267441,-0.00403645820915699,0.306054919958115,0.96484375,0,0,0,0,1
7.5,1.42117977142334,-83.702652262503,42.2982611773014,1.11073994636536,-0.304947912693024,-0.00429687509313226,0.305020362138748,0.95703125,0,0,0,0,1
7.6,1.73499858379364,-83.7026526212204,42.2982606049347,5.12259006500244,-0.304947912693024,-0.00416666688397527,0.305014789104462,0.95703125,0,0,0,0,1
7.7,2.01184344291687,-83.7026530410824,42.2982599255885,5.12259006500244,-0.305338531732559,-0.00364583334885538,0.305393755435944,0.96484375,0,0,0,0,1
7.8,2.23536467552185,-83.7026535172773,42.2982591468759,7.89467000961304,-0.305598944425583,-0.00403645820915699,0.305658400058746,0.953125,0,0,0,0,1
7.9,2.3601713180542,-83.7026540261174,42.2982583070119,7.89467000961304,-0.304947912693024,-0.00416666688397527,0.305008411407471,0.953125,0,0,0,0,1
8,2.45516920089722,-83.702654556304,42.2982574219303,11.6017398834229,-0.305468738079071,-0.00416666688397527,0.305532604455948,0.95703125,0,0,0,0,1
8.1,2.51264667510986,-83.7026550977379,42.2982565090691,11.6017398834229,-0.306119799613953,-0.00377604155801237,0.306177794933319,0.95703125,0,0,0,0,1
8.2,2.54785752296448,-83.7026556464522,42.2982555752113,12.9636697769165,-0.305338531732559,-0.00429687509313226,0.305415481328964,0.95703125,0,0,0,0,1
8.3,2.56765699386597,-83.7026561956906,42.298254632598,12.9636697769165,-0.304036468267441,-0.00455729151144624,0.304116725921631,0.96484375,0,0,0,0,1
8.4,2.57464933395386,-83.7026567430616,42.2982536810011,12.4858198165894,-0.304036468267441,-0.00455729151144624,0.304114788770676,0.953125,0,0,0,0,1
8.5,2.56198000907898,-83.7026572843106,42.2982527298057,12.4858198165894,-0.304817706346512,-0.00390625,0.304872691631317,0.9609375,0,0,0,0,1
8.6,2.5380482673645,-83.7026578182213,42.2982517834304,12.2675905227661,-0.304427087306976,-0.00416666688397527,0.304483860731125,0.96875,0,0,0,0,1
8.7,2.51313781738281,-83.7026583424748,42.2982508453908,12.2675905227661,-0.304296880960464,-0.00403645820915699,0.30435112118721,0.95703125,0,0,0,0,1
8.8,2.48548078536987,-83.7026588566697,42.2982499148275,12.0716400146484,-0.305208325386047,-0.00390625,0.305268704891205,0.96484375,0,0,0,0,1
8.9,2.44393754005432,-83.7026593594536,42.2982489963314,12.0716400146484,-0.305859386920929,-0.00390625,0.305917799472809,0.97265625,0,0,0,0,1
9,2.39161086082459,-83.7026598494309,42.2982480934593,15.8386898040771,-0.305338531732559,-0.00416666688397527,0.305402100086212,0.98046875,0,0,0,0,1
